"tall","all_regi","all_enty","all_enty_1","all_te","Val"
"2005","OAS","pebiolc","segabio","biogas",0.000127658293198269
"2005","OAS","pebiolc","segabio","biogasc",0
"2005","OAS","pebiolc","sehe","biohp",0.00193166339203096
"2005","OAS","pebios","seliqbio","bioeths",5.08918813648549E-6
"2005","OAS","pebioil","seliqbio","biodiesel",5.59786385540576E-5
"2005","OAS","seel","seh2","elh2",0
"2005","OAS","seel","seh2","elh2VRE",0
"2005","OAS","seh2","seliqbio","MeOH",0
"2005","OAS","seh2","seliqsyn","MeOH",0
"2005","OAS","seh2","seel","h2turb",0
"2005","OAS","seh2","seel","h2turbVRE",0
"2005","OAS","seh2","segabio","h22ch4",0
"2005","OAS","seh2","segasyn","h22ch4",0
"2005","SSA","peoil","seliqfos","refliq",0.0771273443995758
"2005","SSA","peoil","seel","dot",0.00149238916185092
"2005","SSA","pegas","seliqfos","gasftrec",0.00185868819292408
"2005","SSA","pegas","seliqfos","gasftcrec",0
"2005","SSA","pegas","seel","ngcc",0.00206315104205271
"2005","SSA","pegas","seel","ngccc",0
"2005","SSA","pegas","seel","ngt",0.000364085478009301
"2005","SSA","pegas","seel","gaschp",0
"2005","SSA","pegas","seh2","gash2",7.71009600416335E-8
"2005","SSA","pegas","seh2","gash2c",0
"2005","SSA","pegas","segafos","gastr",0.00603891275986374
"2005","SSA","pegas","sehe","gashp",0
"2005","SSA","pecoal","seliqfos","coalftrec",0.00258775874773446
"2005","SSA","pecoal","seliqfos","coalftcrec",0
"2005","SSA","pecoal","sesofos","coaltr",0.0244441745723679
"2005","SSA","pecoal","seel","igcc",0
"2005","SSA","pecoal","seel","igccc",0
"2005","SSA","pecoal","seel","pc",0.0265778355359646
"2005","SSA","pecoal","seel","pcc",0
"2005","SSA","pecoal","seel","pco",0
"2005","SSA","pecoal","seel","coalchp",0
"2005","SSA","pecoal","seh2","coalh2",3.30432685892715E-8
"2005","SSA","pecoal","seh2","coalh2c",0
"2005","SSA","pecoal","segafos","coalgas",0.00335731155014234
"2005","SSA","pecoal","sehe","coalhp",0
"2005","SSA","peur","seel","tnrs",0.0012673748067185
"2005","SSA","peur","seel","fnrs",0
"2005","SSA","pegeo","seel","geohdr",0.000112563290871731
"2005","SSA","pegeo","sehe","geohe",0
"2005","SSA","pehyd","seel","hydro",0.00826032529670216
"2005","SSA","pewin","seel","wind",2.02007899869508E-6
"2005","SSA","pewin","seel","windoff",0
"2005","SSA","pesol","seel","spv",7.85586277270309E-7
"2005","SSA","pesol","seel","csp",0
"2005","SSA","pesol","sehe","solhe",0
"2005","SSA","pebiolc","seliqbio","bioftrec",0
"2005","SSA","pebiolc","seliqbio","bioftcrec",0
"2005","SSA","pebiolc","seliqbio","bioethl",0
"2005","SSA","pebiolc","sesobio","biotr",0.285029647187458
"2005","SSA","pebiolc","sesobio","biotrmod",0.0277229964011739
"2005","SSA","pebiolc","seel","biochp",0
"2005","SSA","pebiolc","seel","bioigcc",0.000146567954016432
"2005","SSA","pebiolc","seel","bioigccc",0
"2005","SSA","pebiolc","seh2","bioh2",0
"2005","SSA","pebiolc","seh2","bioh2c",0
"2005","SSA","pebiolc","segabio","biogas",0
"2005","SSA","pebiolc","segabio","biogasc",0
"2005","SSA","pebiolc","sehe","biohp",0
"2005","SSA","pebios","seliqbio","bioeths",0
"2005","SSA","pebioil","seliqbio","biodiesel",0
"2005","SSA","seel","seh2","elh2",0
"2005","SSA","seel","seh2","elh2VRE",0
"2005","SSA","seh2","seliqbio","MeOH",0
"2005","SSA","seh2","seliqsyn","MeOH",0
"2005","SSA","seh2","seel","h2turb",0
"2005","SSA","seh2","seel","h2turbVRE",0
"2005","SSA","seh2","segabio","h22ch4",0
"2005","SSA","seh2","segasyn","h22ch4",0
"2005","EUR","peoil","seliqfos","refliq",0.972799828144981
"2005","EUR","peoil","seel","dot",0.0130027799728759
"2005","EUR","pegas","seliqfos","gasftrec",0
"2005","EUR","pegas","seliqfos","gasftcrec",0
"2005","EUR","pegas","seel","ngcc",0.0478626846249434
"2005","EUR","pegas","seel","ngccc",0
"2005","EUR","pegas","seel","ngt",0.00531807606943816
"2005","EUR","pegas","seel","gaschp",0.0278955960488772
"2005","EUR","pegas","seh2","gash2",0.000733398883345757
"2005","EUR","pegas","seh2","gash2c",0
"2005","EUR","pegas","segafos","gastr",0.390378563539701
