Year ,Region ,Method                                                                     ,value               ,Market                                         ,score                   ,score_direct            ,total_score         ,total_score_direct
2030 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'marine eutrophication', 'MEP')"            , 1.6773465          ,"market group for electricity, low voltage"    ,1.2913335673012969e-05  ,1.5311505376632144e-06  ,6064838.750446966   ,719115.598690303
2030 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'metal depletion', 'MDP')"                  , 1.6773465          ,"market group for electricity, low voltage"    ,0.012564932027042404    ,0.0                     ,5901208532.323295   ,0.0
2030 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'natural land transformation', 'NLTP')"     , 1.6773465          ,"market group for electricity, low voltage"    ,-0.0002629844811159388  ,-0.0002594923983865922  ,-123512507.7071581  ,-121872426.53889972
2030 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'ozone depletion', 'ODPinf')"               , 1.6773465          ,"market group for electricity, low voltage"    ,3.0661892772315032e-09  ,0.0                     ,1440.0573187005018  ,0.0
2030 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'particulate matter formation', 'PMFP')"    , 1.6773465          ,"market group for electricity, low voltage"    ,7.890208910548083e-05   ,1.76653518710445e-05    ,37056920.0410546    ,8296656.517006184
2030 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'photochemical oxidant formation', 'POFP')" , 1.6773465          ,"market group for electricity, low voltage"    ,0.00014802246268009927  ,3.6392521409305184e-05  ,69519788.71539664   ,17092003.155380473
2030 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'terrestrial acidification', 'TAP100')"     , 1.6773465          ,"market group for electricity, low voltage"    ,0.00016924603442176114  ,3.3833032951082455e-05  ,79487588.17334175   ,15889921.433367193
2030 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'terrestrial ecotoxicity', 'TETPinf')"      , 1.6773465          ,"market group for electricity, low voltage"    ,1.1815873603987068e-05  ,3.00453401460503e-07    ,5549407.985545226   ,141110.04917880349
2030 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'urban land occupation', 'ULOP')"           , 1.6773465          ,"market group for electricity, low voltage"    ,0.0016798704595210978   ,2.3601215629647457e-06  ,788962954.0047095   ,1108447.6600997648
2030 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'water depletion', 'WDP')"                  , 1.6773465          ,"market group for electricity, low voltage"    ,0.01691520498108494     ,0.0167905468767543      ,7944344764.105509   ,7885798210.306732
