"","model","scenario","region","period","variable","value"
"74","REMIND","SSP2-26","ROW",2030,"Air Pollution",-309752.169051808
"75","REMIND","SSP2-26","ROW",2040,"Air Pollution",-146500.563185457
"76","REMIND","SSP2-26","ROW",2050,"Air Pollution",-213908.007272491
"77","REMIND","SSP2-26","USA",2020,"Air Pollution",0
"78","REMIND","SSP2-26","USA",2030,"Air Pollution",-29565.7883315099
"79","REMIND","SSP2-26","USA",2040,"Air Pollution",-730.521599709307
"80","REMIND","SSP2-26","USA",2050,"Air Pollution",-20202.708438782
"81","REMIND","SSP2-INDC_coal_exit","AFR",2020,"Air Pollution",-2.07366068760706e-10
"82","REMIND","SSP2-INDC_coal_exit","AFR",2030,"Air Pollution",-734111.930591689
"83","REMIND","SSP2-INDC_coal_exit","AFR",2040,"Air Pollution",-767387.527361965
"84","REMIND","SSP2-INDC_coal_exit","AFR",2050,"Air Pollution",-1475951.31638729
"85","REMIND","SSP2-INDC_coal_exit","CHN",2020,"Air Pollution",5.99902705289423e-09
"86","REMIND","SSP2-INDC_coal_exit","CHN",2030,"Air Pollution",-3572573.6523498
"87","REMIND","SSP2-INDC_coal_exit","CHN",2040,"Air Pollution",-3436356.27929159
"88","REMIND","SSP2-INDC_coal_exit","CHN",2050,"Air Pollution",-7577586.5475134
"89","REMIND","SSP2-INDC_coal_exit","EUR",2020,"Air Pollution",-4.13543643773551e-11
"90","REMIND","SSP2-INDC_coal_exit","EUR",2030,"Air Pollution",-45326.7936399788
"91","REMIND","SSP2-INDC_coal_exit","EUR",2040,"Air Pollution",-2543.20217418472
"92","REMIND","SSP2-INDC_coal_exit","EUR",2050,"Air Pollution",-20763.4571099895
"93","REMIND","SSP2-INDC_coal_exit","IND",2020,"Air Pollution",-7.43624894994355e-09
"94","REMIND","SSP2-INDC_coal_exit","IND",2030,"Air Pollution",-10841402.733979
"95","REMIND","SSP2-INDC_coal_exit","IND",2040,"Air Pollution",-15254405.38821
"96","REMIND","SSP2-INDC_coal_exit","IND",2050,"Air Pollution",-23105064.141293
"97","REMIND","SSP2-INDC_coal_exit","JPN",2020,"Air Pollution",-1.2226308854224e-10
"98","REMIND","SSP2-INDC_coal_exit","JPN",2030,"Air Pollution",-50539.5878420501
"99","REMIND","SSP2-INDC_coal_exit","JPN",2040,"Air Pollution",-37146.5320195919
"100","REMIND","SSP2-INDC_coal_exit","JPN",2050,"Air Pollution",-66789.99543656
"101","REMIND","SSP2-INDC_coal_exit","LAM",2020,"Air Pollution",1.31965549599045e-10
"102","REMIND","SSP2-INDC_coal_exit","LAM",2030,"Air Pollution",-49863.9122117226
"103","REMIND","SSP2-INDC_coal_exit","LAM",2040,"Air Pollution",-200882.233134401
"104","REMIND","SSP2-INDC_coal_exit","LAM",2050,"Air Pollution",-387855.950392886
"105","REMIND","SSP2-INDC_coal_exit","MEA",2020,"Air Pollution",-4.29738467033758e-10
"106","REMIND","SSP2-INDC_coal_exit","MEA",2030,"Air Pollution",-488762.794314057
"107","REMIND","SSP2-INDC_coal_exit","MEA",2040,"Air Pollution",-350954.456664931
"108","REMIND","SSP2-INDC_coal_exit","MEA",2050,"Air Pollution",-813125.022194281
"109","REMIND","SSP2-INDC_coal_exit","OAS",2020,"Air Pollution",-7.8159700933611e-10
"110","REMIND","SSP2-INDC_coal_exit","OAS",2030,"Air Pollution",-1980953.05999281
"111","REMIND","SSP2-INDC_coal_exit","OAS",2040,"Air Pollution",-3630570.36091708
"112","REMIND","SSP2-INDC_coal_exit","OAS",2050,"Air Pollution",-5259693.23584934
"113","REMIND","SSP2-INDC_coal_exit","ROW",2020,"Air Pollution",-6.94022617153678e-11
"114","REMIND","SSP2-INDC_coal_exit","ROW",2030,"Air Pollution",-282424.296217183
"115","REMIND","SSP2-INDC_coal_exit","ROW",2040,"Air Pollution",-127416.631095242
"116","REMIND","SSP2-INDC_coal_exit","ROW",2050,"Air Pollution",-193348.970109163
"117","REMIND","SSP2-INDC_coal_exit","USA",2020,"Air Pollution",-4.68688199362077e-10
"118","REMIND","SSP2-INDC_coal_exit","USA",2030,"Air Pollution",16253.4217415398
"119","REMIND","SSP2-INDC_coal_exit","USA",2040,"Air Pollution",4776.12842554047
"120","REMIND","SSP2-INDC_coal_exit","USA",2050,"Air Pollution",4372.62182895198
